@relation robots

@attribute distanciaInimigo numeric
@attribute velocidadeLateral numeric
@attribute potenciaBala {0.5,3.0}
@attribute anguloArmaAtual numeric
@attribute anguloAbsolutoInimigo numeric
@attribute anguloArmaPreditor numeric
@attribute acertou {SIM,NAO}

@data
300.0,-6.92,3.0,5.76,-0.31,-0.1,NAO
300.0,0.01,0.5,3.33,3.31,-0.02,NAO
250.0,-5.81,0.5,2.84,3.07,-0.03,NAO
250.0,-5.08,0.5,5.51,5.74,-0.0,NAO
300.0,-1.54,3.0,1.17,1.03,-0.21,NAO
150.0,3.49,3.0,5.9,-0.53,0.01,SIM
150.0,5.34,3.0,1.17,0.84,-0.09,SIM
250.0,3.77,3.0,1.24,1.08,0.01,NAO
150.0,6.65,3.0,5.58,5.18,0.04,SIM
150.0,1.86,3.0,5.99,-0.38,0.04,NAO
200.0,0.47,3.0,1.87,1.9,0.05,NAO
350.0,5.49,3.0,1.94,1.7,0.01,NAO
550.0,7.54,3.0,0.43,1.35,1.26,NAO
700.0,-3.58,3.0,0.99,1.13,-0.02,NAO
400.0,-4.38,3.0,0.62,0.58,-0.24,SIM
250.0,-6.01,3.0,0.17,0.85,0.41,SIM
100.0,-7.0,3.0,4.61,-1.19,0.02,SIM
200.0,-0.6,3.0,5.59,5.57,-0.05,NAO
250.0,-6.31,0.5,5.58,5.82,-0.05,NAO
300.0,-4.68,0.5,6.08,-0.04,-0.05,NAO
250.0,-2.81,0.5,0.32,0.4,-0.05,NAO
200.0,-5.22,0.5,0.84,1.01,-0.07,NAO
150.0,-0.0,3.0,2.21,2.08,-0.13,NAO
150.0,-3.93,3.0,1.54,1.89,0.09,NAO
150.0,7.05,3.0,2.43,2.13,0.02,NAO
150.0,5.87,3.0,4.94,-1.59,0.02,SIM
150.0,-4.36,3.0,3.88,4.06,-0.11,NAO
150.0,-1.7,3.0,3.94,4.15,0.1,NAO
200.0,-1.06,3.0,3.99,3.97,-0.07,SIM
250.0,7.87,3.0,4.08,5.25,1.53,NAO
100.0,-7.12,3.0,4.33,4.81,0.01,SIM
50.0,-2.13,3.0,3.28,3.55,0.13,SIM
150.0,-5.85,3.0,3.41,3.58,-0.22,NAO
200.0,-0.42,3.0,4.35,4.36,-0.01,NAO
200.0,-3.05,3.0,1.93,2.22,0.15,NAO
300.0,-3.27,3.0,2.68,2.82,-0.01,SIM
100.0,-7.82,3.0,1.3,1.91,0.09,NAO
